Academic Vocabulary List - Core Academic Words
Source file: acadCore.xlsx
Each entry contains rank, word, part of speech, academic frequency, ratio, dispersion, and range.

Rank 1: study (n). Academic frequency: 137208; ratio: 2.5235099227903999; dispersion: 0.92650893496804898; range: 8.
Rank 783: forum (n). Academic frequency: 3887; ratio: 1.5403662268371201; dispersion: 0.92809480507585096; range: 9.
Rank 784: research (v). Academic frequency: 3879; ratio: 1.6112293320622899; dispersion: 0.933372063740881; range: 9.
Rank 785: convey (v). Academic frequency: 3876; ratio: 1.6820124554024201; dispersion: 0.93219460034701696; range: 8.
Rank 786: weakness (n). Academic frequency: 3851; ratio: 1.51734204800471; dispersion: 0.95827757526125601; range: 9.
Rank 787: virtual (j). Academic frequency: 3846; ratio: 1.5495467536777201; dispersion: 0.86452181108895898; range: 9.
Rank 788: necessity (n). Academic frequency: 3821; ratio: 1.7618608262034201; dispersion: 0.94126220835815; range: 8.
Rank 789: hierarchy (n). Academic frequency: 3815; ratio: 2.54885738998339; dispersion: 0.92146321684535204; range: 9.
Rank 790: obstacle (n). Academic frequency: 3800; ratio: 1.5146315022980501; dispersion: 0.93636074427342397; range: 8.
Rank 791: import (n). Academic frequency: 3798; ratio: 1.8252861062210299; dispersion: 0.88695452319826196; range: 7.
Rank 792: equality (n). Academic frequency: 3795; ratio: 2.13882662212837; dispersion: 0.90633517657038598; range: 7.
Rank 793: productive (j). Academic frequency: 3785; ratio: 1.77020354140161; dispersion: 0.94209818366428399; range: 9.
Rank 794: dilemma (n). Academic frequency: 3768; ratio: 1.8358128431191501; dispersion: 0.93154114610363503; range: 8.
Rank 795: progressive (j). Academic frequency: 3763; ratio: 1.87405475168432; dispersion: 0.93325145089096095; range: 9.
Rank 796: conversion (n). Academic frequency: 3747; ratio: 2.1480768724618402; dispersion: 0.88495839496843098; range: 9.
Rank 797: socioeconomic (j). Academic frequency: 3743; ratio: 3.0095171484438699; dispersion: 0.91663774037354395; range: 8.
Rank 798: classification (n). Academic frequency: 3734; ratio: 2.8203047630596099; dispersion: 0.91042690586417097; range: 8.
Rank 799: label (v). Academic frequency: 3721; ratio: 1.5217720422905501; dispersion: 0.947337659092924; range: 9.
Rank 800: articulate (v). Academic frequency: 3710; ratio: 2.2663808004886699; dispersion: 0.92925518421625497; range: 8.
Rank 801: continuing (j). Academic frequency: 3703; ratio: 1.5443525043156601; dispersion: 0.95443938908635695; range: 9.
Rank 802: random (j). Academic frequency: 3701; ratio: 1.5084833486756299; dispersion: 0.91098836029277197; range: 9.
Rank 803: transaction (n). Academic frequency: 3695; ratio: 1.6315726248658899; dispersion: 0.893150989795922; range: 8.
Rank 804: profound (j). Academic frequency: 3694; ratio: 1.60701569465841; dispersion: 0.93404836653801604; range: 8.
Rank 805: required (j). Academic frequency: 3687; ratio: 2.0144107043436899; dispersion: 0.93725086361077903; range: 9.
Rank 806: ideal (n). Academic frequency: 3683; ratio: 2.0201052394446801; dispersion: 0.919031562533281; range: 7.
Rank 807: rational (j). Academic frequency: 3678; ratio: 2.03008258263083; dispersion: 0.91893476340445102; range: 8.
Rank 808: summarize (v). Academic frequency: 3678; ratio: 2.6719593162261401; dispersion: 0.940520643470106; range: 8.
Rank 809: value (v). Academic frequency: 3661; ratio: 1.69164910177269; dispersion: 0.94435607026995605; range: 9.
Rank 810: attribute (n). Academic frequency: 3644; ratio: 2.5715013869925398; dispersion: 0.90097398329755496; range: 8.
Rank 811: identical (j). Academic frequency: 3636; ratio: 1.6567049019140201; dispersion: 0.92361326155388501; range: 9.
Rank 812: subsequently (r). Academic frequency: 3623; ratio: 2.3251936429172599; dispersion: 0.94760707224476204; range: 8.
Rank 813: objective (j). Academic frequency: 3620; ratio: 2.3160518452610401; dispersion: 0.94409738987804404; range: 8.
Rank 814: sum (n). Academic frequency: 3613; ratio: 1.63537236646159; dispersion: 0.95052855865873198; range: 9.
Rank 815: isolation (n). Academic frequency: 3609; ratio: 1.9023384421831999; dispersion: 0.93434785510364404; range: 8.
Rank 816: consistency (n). Academic frequency: 3599; ratio: 2.19169015349796; dispersion: 0.90604747055148105; range: 9.
Rank 817: sustainable (j). Academic frequency: 3586; ratio: 2.0782353073751501; dispersion: 0.85513262813441404; range: 8.
Rank 818: representative (j). Academic frequency: 3586; ratio: 1.60141534589474; dispersion: 0.93956359201706596; range: 8.
Rank 819: positively (r). Academic frequency: 3572; ratio: 2.3409461880642102; dispersion: 0.89728697776500399; range: 8.
Rank 820: survey (v). Academic frequency: 3569; ratio: 1.5362225834276799; dispersion: 0.93009374519776999; range: 9.
Rank 821: calculation (n). Academic frequency: 3566; ratio: 2.0581285560476799; dispersion: 0.86759239739813399; range: 9.
Rank 822: overall (r). Academic frequency: 3563; ratio: 1.57150285714805; dispersion: 0.92154900976774501; range: 9.
Rank 823: comparable (j). Academic frequency: 3562; ratio: 2.08329039485842; dispersion: 0.93909345267654998; range: 9.
Rank 824: revolutionary (j). Academic frequency: 3549; ratio: 1.67459088243697; dispersion: 0.89740135178476799; range: 7.
Rank 825: minimal (j). Academic frequency: 3547; ratio: 1.8674087747410699; dispersion: 0.93562324953035703; range: 9.
Rank 826: isolate (v). Academic frequency: 3545; ratio: 1.6988001345341299; dispersion: 0.92895416599518299; range: 8.
Rank 827: willingness (n). Academic frequency: 3539; ratio: 1.79258253287358; dispersion: 0.93621025651226597; range: 9.
Rank 828: flexibility (n). Academic frequency: 3518; ratio: 1.8684346554307101; dispersion: 0.932055875457517; range: 9.
Rank 829: imagery (n). Academic frequency: 3517; ratio: 2.3403816218878202; dispersion: 0.87025804804130802; range: 7.
Rank 830: promotion (n). Academic frequency: 3517; ratio: 1.5395784591041; dispersion: 0.94615132493721699; range: 9.
Rank 831: residential (j). Academic frequency: 3517; ratio: 1.52584414500975; dispersion: 0.88552220351242505; range: 8.
Rank 832: developed (j). Academic frequency: 3513; ratio: 2.1891941161861199; dispersion: 0.917464689212111; range: 9.
Rank 833: short (r). Academic frequency: 3511; ratio: 1.5323543015191201; dispersion: 0.94957067029475695; range: 9.
Rank 834: adaptation (n). Academic frequency: 3499; ratio: 2.3239870057883598; dispersion: 0.90818320614718895; range: 8.
Rank 835: recipient (n). Academic frequency: 3484; ratio: 1.5901375992311899; dispersion: 0.92826375758060997; range: 9.
Rank 836: neutral (j). Academic frequency: 3477; ratio: 1.7886035756037699; dispersion: 0.92869392056311295; range: 8.
Rank 837: monitoring (n). Academic frequency: 3473; ratio: 2.2684234627142299; dispersion: 0.88979878119120404; range: 7.
Rank 838: beneficial (j). Academic frequency: 3469; ratio: 2.2210663426745501; dispersion: 0.92933029124000799; range: 8.
Rank 839: exclusively (r). Academic frequency: 3443; ratio: 1.91425381346171; dispersion: 0.94389859919302099; range: 9.
Rank 840: precise (j). Academic frequency: 3438; ratio: 1.5519482496811901; dispersion: 0.90886479861566005; range: 9.
Rank 841: substantially (r). Academic frequency: 3433; ratio: 2.1111616839431302; dispersion: 0.93246052392661405; range: 9.
Rank 842: flexible (j). Academic frequency: 3431; ratio: 1.76002804726197; dispersion: 0.93131130731199296; range: 9.
Rank 843: conceive (v). Academic frequency: 3415; ratio: 1.72952357947855; dispersion: 0.92516690337679697; range: 8.
Rank 844: problematic (j). Academic frequency: 3415; ratio: 2.5016581649612299; dispersion: 0.93867127880458701; range: 8.
Rank 845: persist (v). Academic frequency: 3413; ratio: 1.85717526818225; dispersion: 0.94741175352616602; range: 8.
Rank 846: valid (j). Academic frequency: 3409; ratio: 2.01331025387567; dispersion: 0.94376411241830604; range: 8.
Rank 847: embody (v). Academic frequency: 3384; ratio: 2.2311008799104899; dispersion: 0.91874126778917997; range: 7.
Rank 848: stimulate (v). Academic frequency: 3381; ratio: 1.8821736099462201; dispersion: 0.94083203888525602; range: 8.
Rank 849: modification (n). Academic frequency: 3373; ratio: 2.4232374426577601; dispersion: 0.91819025756333805; range: 8.
Rank 850: artifact (n). Academic frequency: 3365; ratio: 1.8302029488142499; dispersion: 0.88256453736104701; range: 7.
Rank 851: subjective (j). Academic frequency: 3348; ratio: 2.7276220506025299; dispersion: 0.90906784962954701; range: 8.
Rank 852: extended (j). Academic frequency: 3347; ratio: 1.6192066848036299; dispersion: 0.93304519974687505; range: 9.
Rank 853: diminish (v). Academic frequency: 3344; ratio: 1.58985922850859; dispersion: 0.948001084536924; range: 8.
Rank 854: expected (j). Academic frequency: 3343; ratio: 1.7698535877056001; dispersion: 0.92634118105825303; range: 9.
Rank 855: combined (j). Academic frequency: 3331; ratio: 1.6520952638120601; dispersion: 0.93468868727672105; range: 9.
Rank 856: attain (v). Academic frequency: 3309; ratio: 2.34454828149167; dispersion: 0.94889061368828198; range: 8.
Rank 857: comparative (j). Academic frequency: 3301; ratio: 2.8904088262275698; dispersion: 0.92237488142853796; range: 8.
Rank 858: partial (j). Academic frequency: 3297; ratio: 1.88516305365124; dispersion: 0.93642056162181297; range: 8.
Rank 859: fixed (j). Academic frequency: 3294; ratio: 1.7852087562168799; dispersion: 0.93531053418146104; range: 9.
Rank 860: matrix (n). Academic frequency: 3271; ratio: 2.5206199889205401; dispersion: 0.87064688346694996; range: 7.
Rank 861: innovative (j). Academic frequency: 3269; ratio: 1.76892196753098; dispersion: 0.93470698724197399; range: 9.
Rank 862: influential (j). Academic frequency: 3225; ratio: 1.6953346556268201; dispersion: 0.93442952091104603; range: 8.
Rank 863: voluntary (j). Academic frequency: 3224; ratio: 1.93042451303853; dispersion: 0.93785275905058996; range: 8.
Rank 864: induce (v). Academic frequency: 3211; ratio: 2.2609293981091301; dispersion: 0.91832236389326705; range: 8.
Rank 865: expenditure (n). Academic frequency: 3211; ratio: 2.1186361214992799; dispersion: 0.92097103420099902; range: 9.
Rank 866: stem (v). Academic frequency: 3208; ratio: 1.5556151682805399; dispersion: 0.94102267492110403; range: 9.
Rank 867: accurately (r). Academic frequency: 3201; ratio: 2.03311917431289; dispersion: 0.93137215677603702; range: 8.
Rank 868: monetary (j). Academic frequency: 3183; ratio: 2.0458071600825098; dispersion: 0.87910978533220696; range: 8.
Rank 869: patent (n). Academic frequency: 3174; ratio: 1.71380772678501; dispersion: 0.85262375538967305; range: 7.
Rank 870: emergence (n). Academic frequency: 3151; ratio: 2.4850240008870399; dispersion: 0.92302168552406705; range: 8.
Rank 871: outline (v). Academic frequency: 3147; ratio: 1.7471856997644799; dispersion: 0.95325388454938198; range: 8.
Rank 872: appreciation (n). Academic frequency: 3128; ratio: 1.6941948986351301; dispersion: 0.95021185471387803; range: 9.
Rank 873: rejection (n). Academic frequency: 3126; ratio: 2.0259053936543001; dispersion: 0.92340026357540905; range: 8.
Rank 874: favorable (j). Academic frequency: 3125; ratio: 1.9350071181314299; dispersion: 0.93583477507335; range: 9.
Rank 875: known (j). Academic frequency: 3102; ratio: 1.6987689566423001; dispersion: 0.88195069751327304; range: 8.
Rank 876: morality (n). Academic frequency: 3097; ratio: 2.0632459597347901; dispersion: 0.889243851263673; range: 7.
Rank 877: namely (r). Academic frequency: 3096; ratio: 2.3085432656484399; dispersion: 0.94009482139717504; range: 8.
Rank 878: philosopher (n). Academic frequency: 3091; ratio: 2.08946162762166; dispersion: 0.89342283011085999; range: 7.
Rank 879: experienced (j). Academic frequency: 3084; ratio: 1.64542131782926; dispersion: 0.93557679725924303; range: 9.
Rank 880: manipulate (v). Academic frequency: 3081; ratio: 1.6316387390003799; dispersion: 0.93022302565639903; range: 9.
Rank 881: tolerance (n). Academic frequency: 3077; ratio: 1.82462133560485; dispersion: 0.92039326791560006; range: 9.
Rank 882: solely (r). Academic frequency: 3071; ratio: 1.8359876137033999; dispersion: 0.95318748516002505; range: 9.
Rank 883: resulting (j). Academic frequency: 3063; ratio: 2.2321262731348699; dispersion: 0.91259840534905901; range: 8.
Rank 884: modem (n). Academic frequency: 3057; ratio: 2.3020123030381101; dispersion: 0.86638165974382897; range: 8.
Rank 885: census (n). Academic frequency: 3054; ratio: 1.6649310980047201; dispersion: 0.86703607055208198; range: 7.
Rank 886: vertical (j). Academic frequency: 3043; ratio: 1.6727370431387201; dispersion: 0.868811247192257; range: 8.
Rank 887: accordingly (r). Academic frequency: 3039; ratio: 2.3356735314463899; dispersion: 0.95029228432955803; range: 9.
Rank 888: preliminary (j). Academic frequency: 3036; ratio: 1.69740122028211; dispersion: 0.92742475209779496; range: 8.
Rank 889: commodity (n). Academic frequency: 3035; ratio: 1.7516601703883099; dispersion: 0.90480119390750002; range: 7.
Rank 890: temporal (j). Academic frequency: 3025; ratio: 3.0211940573120799; dispersion: 0.91044135256632397; range: 8.
Rank 891: short-term (j). Academic frequency: 3023; ratio: 1.63177172609438; dispersion: 0.95086021192186798; range: 9.
Rank 892: distinctive (j). Academic frequency: 3023; ratio: 1.8370883698670999; dispersion: 0.93053753061648803; range: 8.
Rank 893: logical (j). Academic frequency: 3021; ratio: 1.7487683930256701; dispersion: 0.941530151640246; range: 8.
Rank 894: globalization (n). Academic frequency: 3018; ratio: 2.5239539629255701; dispersion: 0.86819058377290004; range: 7.
Rank 895: premise (n). Academic frequency: 3010; ratio: 1.7363727399870801; dispersion: 0.92343773658145401; range: 8.
Rank 896: exploit (v). Academic frequency: 3010; ratio: 1.6514858244627999; dispersion: 0.92034125163973501; range: 9.
Rank 897: inadequate (j). Academic frequency: 2998; ratio: 1.97104083085804; dispersion: 0.94823662916111495; range: 8.
Rank 898: desirable (j). Academic frequency: 2987; ratio: 2.13759370273028; dispersion: 0.93733084214354301; range: 8.
Rank 899: dependence (n). Academic frequency: 2982; ratio: 2.3758220803309298; dispersion: 0.91399899297370202; range: 8.
Rank 900: clarify (v). Academic frequency: 2980; ratio: 1.9489605650527599; dispersion: 0.95085385905708497; range: 8.
Rank 901: considerably (r). Academic frequency: 2967; ratio: 1.79495753452658; dispersion: 0.93471687615549803; range: 9.
Rank 902: geographic (j). Academic frequency: 2961; ratio: 2.1663611944325201; dispersion: 0.91728414156836602; range: 8.
Rank 903: reside (v). Academic frequency: 2960; ratio: 2.0758468030589001; dispersion: 0.92723666670970495; range: 8.
Rank 904: specialized (j). Academic frequency: 2953; ratio: 2.11976055053429; dispersion: 0.91756656090719801; range: 9.
Rank 905: excessive (j). Academic frequency: 2947; ratio: 1.7048046311284399; dispersion: 0.94668834111634803; range: 9.
Rank 906: transport (n). Academic frequency: 2943; ratio: 1.78599238764239; dispersion: 0.82770105770692104; range: 7.
Rank 907: theorist (n). Academic frequency: 2935; ratio: 2.7383861885554999; dispersion: 0.91607076334682502; range: 7.
Rank 908: formulate (v). Academic frequency: 2928; ratio: 2.4089878391639998; dispersion: 0.94817485702411497; range: 8.
Rank 909: equivalent (j). Academic frequency: 2927; ratio: 2.2213157032078499; dispersion: 0.923774055873684; range: 9.
Rank 910: deem (v). Academic frequency: 2912; ratio: 1.6550278885548599; dispersion: 0.94444082397870699; range: 9.
Rank 911: aid (v). Academic frequency: 2908; ratio: 1.6701034059148101; dispersion: 0.94510803764550999; range: 8.
Rank 912: partially (r). Academic frequency: 2904; ratio: 1.60972203741312; dispersion: 0.93193329769551303; range: 8.
Rank 913: manipulation (n). Academic frequency: 2903; ratio: 2.3378823646406901; dispersion: 0.91542199539395297; range: 8.
Rank 914: independently (r). Academic frequency: 2885; ratio: 2.2650412380269702; dispersion: 0.92833443290456896; range: 8.
Rank 915: manifest (v). Academic frequency: 2862; ratio: 2.41832706982093; dispersion: 0.94272624357383605; range: 8.
Rank 916: frontier (n). Academic frequency: 2859; ratio: 1.57011333291955; dispersion: 0.89653566284394903; range: 7.
Rank 917: accessible (j). Academic frequency: 2855; ratio: 1.53470006987583; dispersion: 0.93349748622614404; range: 9.
Rank 918: correctly (r). Academic frequency: 2848; ratio: 1.5543212489096601; dispersion: 0.93736782012405895; range: 8.
Rank 919: inability (n). Academic frequency: 2838; ratio: 1.92289265561042; dispersion: 0.95291957859877197; range: 8.
Rank 920: respective (j). Academic frequency: 2838; ratio: 2.3349410818126501; dispersion: 0.94478467093970198; range: 8.
Rank 921: fragment (n). Academic frequency: 2833; ratio: 1.76449685161683; dispersion: 0.87257054128026901; range: 7.
Rank 922: originate (v). Academic frequency: 2826; ratio: 2.03904598755883; dispersion: 0.92541313135247705; range: 8.
Rank 923: suitable (j). Academic frequency: 2819; ratio: 1.73937956924338; dispersion: 0.90199417608221999; range: 8.
Rank 924: economically (r). Academic frequency: 2817; ratio: 1.7740963808802599; dispersion: 0.92355962508085798; range: 9.
Rank 925: integral (j). Academic frequency: 2806; ratio: 2.3233526602042098; dispersion: 0.94306769241754496; range: 8.
Rank 926: assertion (n). Academic frequency: 2800; ratio: 2.0091083743274099; dispersion: 0.92961252293688701; range: 7.
Rank 927: established (j). Academic frequency: 2793; ratio: 1.99590566215326; dispersion: 0.94713250189989895; range: 9.
Rank 928: exclusion (n). Academic frequency: 2791; ratio: 2.5220476301391002; dispersion: 0.91179081632749004; range: 9.
Rank 929: axis (n). Academic frequency: 2783; ratio: 2.2162660577078102; dispersion: 0.88173571706931497; range: 8.
Rank 930: projection (n). Academic frequency: 2783; ratio: 1.7072392879714899; dispersion: 0.90676340122356802; range: 9.
Rank 931: governmental (j). Academic frequency: 2778; ratio: 2.2963677788801702; dispersion: 0.90442533215645204; range: 8.
Rank 932: aspiration (n). Academic frequency: 2769; ratio: 2.0873842005183398; dispersion: 0.93015138664389196; range: 7.
Rank 933: stance (n). Academic frequency: 2764; ratio: 1.54360313668307; dispersion: 0.93254458474691404; range: 8.
Rank 934: entail (v). Academic frequency: 2758; ratio: 2.4504902648355702; dispersion: 0.93938140067309495; range: 8.
Rank 935: transmit (v). Academic frequency: 2756; ratio: 1.7798559490879899; dispersion: 0.88792192840380602; range: 9.
Rank 936: encompass (v). Academic frequency: 2744; ratio: 2.1485599037082799; dispersion: 0.94318308373299797; range: 8.
Rank 937: governance (n). Academic frequency: 2742; ratio: 2.4160434603979501; dispersion: 0.88592992720517005; range: 8.
Rank 938: notably (r). Academic frequency: 2742; ratio: 1.9310854206801; dispersion: 0.93769037843333702; range: 9.
Rank 939: recruitment (n). Academic frequency: 2738; ratio: 2.5130669347569001; dispersion: 0.903586142751861; range: 8.
Rank 940: rationale (n). Academic frequency: 2736; ratio: 2.3602727712085798; dispersion: 0.93588941584737495; range: 8.
Rank 941: novel (j). Academic frequency: 2732; ratio: 1.9806088660065799; dispersion: 0.91849427475408296; range: 8.
Rank 942: configuration (n). Academic frequency: 2730; ratio: 2.49330663668488; dispersion: 0.85558703351093801; range: 8.
Rank 943: manual (n). Academic frequency: 2725; ratio: 1.7314152967964; dispersion: 0.91149888810175494; range: 9.
Rank 944: center (v). Academic frequency: 2724; ratio: 1.8088996987984101; dispersion: 0.92317346707957104; range: 8.
Rank 945: intensive (j). Academic frequency: 2713; ratio: 1.7720221290940701; dispersion: 0.92318366125336604; range: 8.
Rank 946: minimum (n). Academic frequency: 2711; ratio: 1.50297774799103; dispersion: 0.92540843517186799; range: 9.
Rank 947: applied (j). Academic frequency: 2711; ratio: 2.4850281299244399; dispersion: 0.90706368596582998; range: 9.
Rank 948: cue (n). Academic frequency: 2708; ratio: 1.6950844994044401; dispersion: 0.88685897649281098; range: 8.
Rank 949: regard (n). Academic frequency: 2706; ratio: 1.68001764395506; dispersion: 0.94094921023616096; range: 8.
Rank 950: supportive (j). Academic frequency: 2706; ratio: 1.5469876754133101; dispersion: 0.91482241796497799; range: 8.
Rank 951: attachment (n). Academic frequency: 2704; ratio: 2.0910548441132; dispersion: 0.89881342002462405; range: 8.
Rank 952: indirect (j). Academic frequency: 2697; ratio: 2.5648520401895101; dispersion: 0.93214682981090102; range: 8.
Rank 953: interactive (j). Academic frequency: 2687; ratio: 1.71473834940187; dispersion: 0.90467406632082803; range: 9.
Rank 954: invoke (v). Academic frequency: 2685; ratio: 1.9914776838394701; dispersion: 0.92710055791120305; range: 7.
Rank 955: differentiate (v). Academic frequency: 2679; ratio: 2.5595515994871301; dispersion: 0.94188254632172497; range: 8.
Rank 956: optimal (j). Academic frequency: 2674; ratio: 2.8756906227627299; dispersion: 0.89050162247340303; range: 7.
Rank 957: viable (j). Academic frequency: 2673; ratio: 1.78382829785296; dispersion: 0.93805828289315596; range: 8.
Rank 958: reproduce (v). Academic frequency: 2660; ratio: 1.99021932123544; dispersion: 0.90036912582419804; range: 8.
Rank 959: coordinate (v). Academic frequency: 2658; ratio: 1.6854804863491399; dispersion: 0.93428540906090696; range: 8.
Rank 960: revision (n). Academic frequency: 2644; ratio: 2.1964889682767099; dispersion: 0.94409074587019703; range: 8.
Rank 961: passive (j). Academic frequency: 2640; ratio: 2.1028650240587901; dispersion: 0.94066845962276002; range: 8.
Rank 962: advocacy (n). Academic frequency: 2639; ratio: 1.68564265904442; dispersion: 0.91814366964209004; range: 8.
Rank 963: above (j). Academic frequency: 2638; ratio: 2.1878710251067099; dispersion: 0.945320513045944; range: 8.
Rank 964: isolated (j). Academic frequency: 2638; ratio: 1.5765815784264401; dispersion: 0.93334656432518104; range: 8.
Rank 965: dual (j). Academic frequency: 2635; ratio: 2.0655219837379901; dispersion: 0.90662853141291799; range: 8.
Rank 966: justification (n). Academic frequency: 2621; ratio: 2.1778985422458499; dispersion: 0.90875909765792096; range: 8.
Rank 967: disposal (n). Academic frequency: 2618; ratio: 2.0191981696874701; dispersion: 0.86036140971412001; range: 7.
Rank 968: modeling (n). Academic frequency: 2616; ratio: 2.5374394771798201; dispersion: 0.84784298948620895; range: 7.
Rank 969: thesis (n). Academic frequency: 2613; ratio: 2.2159485943270201; dispersion: 0.92425581920011701; range: 7.
Rank 970: vendor (n). Academic frequency: 2612; ratio: 1.51702606685939; dispersion: 0.81545609808092701; range: 7.
Rank 971: occurrence (n). Academic frequency: 2611; ratio: 2.3871145086721399; dispersion: 0.92561599597156297; range: 8.
Rank 972: prospective (j). Academic frequency: 2610; ratio: 1.9067696597816299; dispersion: 0.92804697142370096; range: 9.
Rank 973: authentic (j). Academic frequency: 2609; ratio: 1.6974443311877301; dispersion: 0.91045021552622996; range: 8.
Rank 974: relevance (n). Academic frequency: 2608; ratio: 2.5515908917494801; dispersion: 0.94508720142041802; range: 8.
Rank 975: inevitably (r). Academic frequency: 2597; ratio: 1.56060173740874; dispersion: 0.93849815315806795; range: 9.
Rank 976: marginal (j). Academic frequency: 2594; ratio: 2.33259413385665; dispersion: 0.89827722386397202; range: 9.
Rank 977: municipal (j). Academic frequency: 2577; ratio: 1.5467251536272399; dispersion: 0.89632356863662999; range: 7.
Rank 978: designate (v). Academic frequency: 2576; ratio: 1.83372493543003; dispersion: 0.94296382404916801; range: 8.
Rank 979: correspondence (n). Academic frequency: 2574; ratio: 2.1516089232796398; dispersion: 0.93553997251971399; range: 8.
Rank 980: maximize (v). Academic frequency: 2569; ratio: 2.1469169057788902; dispersion: 0.92752137741618801; range: 9.
Rank 981: implicit (j). Academic frequency: 2557; ratio: 2.6584212495967598; dispersion: 0.92309120986471005; range: 8.
Rank 982: devise (v). Academic frequency: 2551; ratio: 1.68825424973655; dispersion: 0.93397154077271105; range: 9.
Rank 983: scholarly (j). Academic frequency: 2550; ratio: 2.3874469642981602; dispersion: 0.91446066200546505; range: 7.
Rank 984: erosion (n). Academic frequency: 2548; ratio: 2.1729294858044699; dispersion: 0.84249850962464001; range: 8.
Rank 985: striking (j). Academic frequency: 2539; ratio: 1.5058492833307; dispersion: 0.93017050379727295; range: 9.
Rank 986: stereotype (n). Academic frequency: 2538; ratio: 1.6339460525654499; dispersion: 0.90215378931104895; range: 7.
Rank 987: contradiction (n). Academic frequency: 2536; ratio: 1.9064039077160799; dispersion: 0.91601484091497398; range: 7.
Rank 988: invention (n). Academic frequency: 2533; ratio: 1.59552520876032; dispersion: 0.90996301375536504; range: 8.
Rank 989: fraction (n). Academic frequency: 2531; ratio: 1.53863219752373; dispersion: 0.84229595411814195; range: 9.
Rank 990: strive (v). Academic frequency: 2527; ratio: 1.6912299507287401; dispersion: 0.94980163046449795; range: 9.
Rank 991: skilled (j). Academic frequency: 2519; ratio: 1.63372891112521; dispersion: 0.91833413458685098; range: 9.
Rank 992: importantly (r). Academic frequency: 2515; ratio: 1.58333262057554; dispersion: 0.94542968244591896; range: 8.
Rank 993: manifestation (n). Academic frequency: 2512; ratio: 2.5088394948654398; dispersion: 0.93519610760517102; range: 8.
Rank 994: disturbance (n). Academic frequency: 2502; ratio: 2.2690948925637202; dispersion: 0.85426423291475795; range: 8.
Rank 995: varying (j). Academic frequency: 2500; ratio: 2.1211466446393401; dispersion: 0.93417298802453497; range: 8.
Rank 996: continuity (n). Academic frequency: 2493; ratio: 2.3968866228060901; dispersion: 0.92773149880847705; range: 8.
Rank 997: commentary (n). Academic frequency: 2476; ratio: 1.6407899449817001; dispersion: 0.92116649739476697; range: 8.
Rank 998: corresponding (j). Academic frequency: 2472; ratio: 2.8204391377515101; dispersion: 0.92284742620240801; range: 8.
Rank 999: large-scale (j). Academic frequency: 2461; ratio: 2.1750152034499499; dispersion: 0.88854136498564096; range: 8.
Rank 1000: reproduction (n). Academic frequency: 2459; ratio: 1.9357929537560199; dispersion: 0.88995914208363602; range: 8.
Rank 1001: analogy (n). Academic frequency: 2458; ratio: 2.0880411133978201; dispersion: 0.90253525695661396; range: 8.
Rank 1002: adequately (r). Academic frequency: 2451; ratio: 2.19948599365941; dispersion: 0.94968374585397597; range: 8.
Rank 1003: restoration (n). Academic frequency: 2451; ratio: 1.5595846533271001; dispersion: 0.89571061232174198; range: 7.
Rank 1004: couple (v). Academic frequency: 2449; ratio: 1.8099179336211599; dispersion: 0.91603600911988903; range: 9.
Rank 1005: negatively (r). Academic frequency: 2447; ratio: 2.8120735122202598; dispersion: 0.884626941530269; range: 8.
Rank 1006: reconstruction (n). Academic frequency: 2447; ratio: 1.6647344067874701; dispersion: 0.91748148443431399; range: 7.
Rank 1007: desired (j). Academic frequency: 2446; ratio: 2.2380157833431298; dispersion: 0.91844331219465203; range: 8.
Rank 1008: inequality (n). Academic frequency: 2445; ratio: 2.5202781318731802; dispersion: 0.87902745452543896; range: 8.
Rank 1009: contrast (v). Academic frequency: 2444; ratio: 2.1589009145035898; dispersion: 0.93605332280176801; range: 8.
Rank 1010: preferred (j). Academic frequency: 2440; ratio: 2.0366810177755301; dispersion: 0.921269946336711; range: 9.
Rank 1011: export (v). Academic frequency: 2433; ratio: 1.7789446121114101; dispersion: 0.884273295132465; range: 7.
Rank 1012: within (r). Academic frequency: 2426; ratio: 1.5555492813101499; dispersion: 0.942340092080999; range: 8.
Rank 1013: societal (j). Academic frequency: 2416; ratio: 2.6387519452355099; dispersion: 0.92512576727807105; range: 8.
Rank 1014: usage (n). Academic frequency: 2407; ratio: 2.2541654015769699; dispersion: 0.92624616993140596; range: 8.
Rank 1015: persistent (j). Academic frequency: 2406; ratio: 1.7211078340378601; dispersion: 0.93458807366463603; range: 8.
Rank 1016: orient (v). Academic frequency: 2398; ratio: 2.4226226591366302; dispersion: 0.92861598815759105; range: 8.
Rank 1017: repeated (j). Academic frequency: 2395; ratio: 1.8740347195362399; dispersion: 0.94210678653919799; range: 8.
Rank 1018: accumulate (v). Academic frequency: 2391; ratio: 1.64906421398479; dispersion: 0.90607246634775895; range: 9.
Rank 1019: allocation (n). Academic frequency: 2387; ratio: 2.64838170433362; dispersion: 0.89641369142316296; range: 9.
Rank 1020: compensate (v). Academic frequency: 2377; ratio: 1.6077413115833901; dispersion: 0.92969668613663003; range: 9.
Rank 1021: coordination (n). Academic frequency: 2370; ratio: 2.0930052075410801; dispersion: 0.91589342013113395; range: 8.
Rank 1022: sufficiently (r). Academic frequency: 2369; ratio: 2.0884350601760899; dispersion: 0.93885125251453505; range: 8.
Rank 1023: formulation (n). Academic frequency: 2366; ratio: 2.8083929804666101; dispersion: 0.93836375178251297; range: 8.
